Company,Location,Industry,%,Date,Source,List of Employees Laid Off,$ Raised (mm),Stage,Date Added,Country,# Laid Off
Lemon,"Buenos Aires,Non-U.S.",Crypto,0.38,2022-11-24T00:00:00.000Z,https://www.forbesargentina.com/innovacion/lemon-despide-tercio-sus-empleados-anuncia-nuevo-foco-compania-sea-mas-sostenible-n25358,https://docs.google.com/spreadsheets/u/1/d/1bCJqnr1S86iwwFbMWoAk-4Gb5CM8ZeE3AKJs_fC-1S0/htmlview#gid=0,17,Series A,2022-11-25T04:10:29.000Z,Argentina,
Utopia Music,"Zug,Non-U.S.",Media,,2022-11-24T00:00:00.000Z,https://www.musicbusinessworldwide.com/utopia-music-makes-layoffs-as-it-downsizes-global-team/,,,Series B,2022-11-25T22:23:39.000Z,Switzerland,
Assure,Salt Lake City,Finance,1,2022-11-23T00:00:00.000Z,https://www.axios.com/2022/11/23/assure-shutdown-fintech-startup-investing,,2,Seed,2022-11-25T04:07:03.000Z,United States,
GoodGood,"Toronto,Non-U.S.",Retail,1,2022-11-23T00:00:00.000Z,https://betakit.com/one-year-after-raising-6-5-million-goodgood-shuts-down-claiming-it-cant-find-more-money/,,6,Seed,2022-11-25T04:07:55.000Z,Canada,
SWVL,"Cairo,Non-U.S.",Transportation,,2022-11-23T00:00:00.000Z,https://enterprise.press/stories/2022/11/23/more-swvl-layoffs-as-company-continues-quest-to-turn-cashflow-positive-88661/,,264,IPO,2022-11-25T22:25:25.000Z,Egypt,
SIRCLO,"Jakarta,Non-U.S.",Retail,0.08,2022-11-22T00:00:00.000Z,https://dailysocial.id/post/sirclo-layoff-2022,,92,Series B,2022-11-22T17:53:56.000Z,Indonesia,160
Trax,"Singapore,Non-U.S.",Retail,0.08,2022-11-22T00:00:00.000Z,https://www.themarker.com/technation/2022-11-22/ty-article/.premium/00000184-9f73-d710-a7c6-df731af70000,,1000,Series E,2022-11-22T19:04:01.000Z,Singapore,80
Flash Coffee,"Singapore,Non-U.S.",Food,,2022-11-22T00:00:00.000Z,https://www.businesstimes.com.sg/startups-tech/startups/rocket-internet-backed-flash-coffee-lays-staff-across-markets,,57,Series B,2022-11-25T04:12:58.000Z,Singapore,
Kitopi,"Dubai,Non-U.S.",Food,0.1,2022-11-21T00:00:00.000Z,https://www.arabianbusiness.com/jobs/dubai-unicorn-kitopi-sacks-93-head-office-staff-as-tech-industry-slumps,,804,Series C,2022-11-23T04:32:47.000Z,United States,93
GloriFi,Dallas,Finance,1,2022-11-21T00:00:00.000Z,https://www.wsj.com/articles/anti-woke-bank-glorifi-to-shut-down-11669051554,,,Unknown,2022-11-25T04:08:51.000Z,United States,
Zomato,"Gurugram,Non-U.S.",Food,0.04,2022-11-19T00:00:00.000Z,https://www.businesstoday.in/latest/economy/story/after-byjus-now-zomato-fires-employees-about-100-jobs-impacted-so-far-report-353435-2022-11-19,,914,Series J,2022-11-20T00:05:57.000Z,India,100
Carvana,Phoenix,Transportation,0.08,2022-11-18T00:00:00.000Z,https://www.wsj.com/articles/carvana-plans-to-lay-off-1-500-employees-cites-economic-concerns-11668793114,,1600,IPO,2022-11-18T21:34:43.000Z,United States,1500
Nuro,SF Bay Area,Transportation,0.2,2022-11-18T00:00:00.000Z,https://techcrunch.com/2022/11/18/autonomous-delivery-startup-nuro-lays-off-20-of-workforce/,https://docs.google.com/spreadsheets/d/1hZo__wA86Uti6-Cwa6jP5AIsrh8KIB7CZax49gy3zVY/edit#gid=0,2100,Series D,2022-11-18T21:35:34.000Z,United States,300
Kavak,"Sao Paulo,Non-U.S.",Transportation,,2022-11-18T00:00:00.000Z,https://businessinsider.mx/kavak-despidos-compra-autos-crisis_negocios/,,1600,Series E,2022-11-20T00:03:44.000Z,Brazil,
Metaplex,Chicago,Crypto,,2022-11-18T00:00:00.000Z,https://ambcrypto.com/solana-nft-protocol-metaplex-announces-layoffs-after-ftxs-collapse/,,,Unknown,2022-11-20T00:01:42.000Z,United States,
Ruangguru,"Jakarta,Non-U.S.",Education,,2022-11-18T00:00:00.000Z,https://www.techinasia.com/ruangguru-lays-hundreds-employees,,205,Unknown,2022-11-21T05:53:59.000Z,Indonesia,
StoryBlocks,Washington D.C.,Media,0.25,2022-11-18T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:6999412858606256129/,,18,Acquired,2022-11-19T23:57:34.000Z,United States,
Roku,SF Bay Area,Media,0.07,2022-11-17T00:00:00.000Z,https://variety.com/2022/digital/news/roku-layoffs-200-employees-1235435468/amp/,,208,IPO,2022-11-17T17:12:59.000Z,United States,200
Orchard,New York City,Real Estate,,2022-11-17T00:00:00.000Z,https://www.inman.com/2022/11/17/orchard-lays-off-180-workers-amid-historic-housing-disruption/,,472,Series D,2022-11-18T05:15:08.000Z,United States,180
Homepoint,Phoenix,Real Estate,,2022-11-17T00:00:00.000Z,https://www.bizjournals.com/phoenix/news/2022/11/17/homepoint-laying-off-az-employees-interest-rates.html,,,IPO,2022-11-19T23:33:13.000Z,United States,113
Juni,"Gothenburg,Non-U.S.",Finance,0.33,2022-11-17T00:00:00.000Z,https://www.finextra.com/newsarticle/41340/juni-joins-fintech-bloodbath-lays-off-a-third-of-staff,,281,Unknown,2022-11-19T23:28:55.000Z,Sweden,72
Chili Piper,New York City,Sales,,2022-11-17T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:6999112600667983872/,https://docs.google.com/spreadsheets/d/1h16hlI3T2ek7azpVJlNl6Z0da-pTNiIkmwyp0HzXh0Q/edit#gid=0,54,Series B,2022-11-17T21:34:39.000Z,United States,58
Capitolis,New York City,Finance,0.25,2022-11-17T00:00:00.000Z,https://www.themarker.com/technation/2022-11-17/ty-article/.premium/00000184-8592-d309-afe7-a597c17f0000,,281,Series D,2022-11-18T05:18:34.000Z,United States,37
TealBook,"Toronto,Non-U.S.",Other,0.19,2022-11-17T00:00:00.000Z,https://www-theglobeandmail-com.cdn.ampproject.org/c/s/www.theglobeandmail.com/amp/business/article-symend-tealbook-latest-canadian-tech-startups-to-cut-staff-amid-market/,,73,Series B,2022-11-17T17:26:04.000Z,Canada,34
Koho,"Toronto,Non-U.S.",Finance,0.04,2022-11-17T00:00:00.000Z,https://betakit.com/canadian-tech-layoffs-continue-as-tough-year-comes-to-a-close/,,278,Series D,2022-11-20T00:17:18.000Z,Canada,15
Kandji,San Diego,Other,0.17,2022-11-17T00:00:00.000Z,Internal memo,,188,Series C,2022-11-19T23:51:59.000Z,United States,
Morning Brew,New York City,Media,0.14,2022-11-17T00:00:00.000Z,https://twitter.com/maxwelltani/status/1593236660627861504,,,Acquired,2022-11-19T23:32:15.000Z,United States,
