Company,Location HQ,Industry,# Laid Off,Date,Source,$ Raised (mm),Stage,Date Added,Country,%,List of Employees Laid Off
TikTok India,"Mumbai,Non-U.S.",Consumer,40,2023-02-10T00:00:00.000Z,https://www.livemint.com/technology/tech-news/tiktok-sacks-entire-india-staff-report-11676001745604.html,9400,Acquired,2023-02-10T16:57:01.000Z,India,,
Rigetti Computing,SF Bay Area,Hardware,,2023-02-10T00:00:00.000Z,https://www.marketwatch.com/story/rigetti-computing-to-slash-28-of-jobs-59be433b,298,Post-IPO,2023-02-10T22:04:09.000Z,United States,0.28,
Yahoo,SF Bay Area,Consumer,1600,2023-02-09T00:00:00.000Z,https://www.axios.com/2023/02/09/yahoo-layoffs-2023-tech-media-companies,6,Acquired,2023-02-09T19:04:22.000Z,United States,0.2,
Deliveroo,"London,Non-U.S.",Food,350,2023-02-09T00:00:00.000Z,https://www.telegraph.co.uk/business/2023/02/09/deliveroo-lays-almost-one-ten-staff-tech-job-cuts-continue/,1700,Post-IPO,2023-02-09T16:21:49.000Z,United Kingdom,,
Olive AI,Columbus,Healthcare,215,2023-02-09T00:00:00.000Z,https://www.axios.com/pro/health-tech-deals/2023/02/09/olive-ai-lays-off-third-company,856,Series H,2023-02-10T00:47:56.000Z,United States,0.35000000000000003,
GitLab,SF Bay Area,Product,130,2023-02-09T00:00:00.000Z,https://www.cnbc.com/2023/02/09/gitlab-layoffs-company-to-cut-7percent-of-staff-or-about-130-employees.html,413,Post-IPO,2023-02-09T15:53:24.000Z,United States,0.07,
Bark,New York City,Retail,126,2023-02-09T00:00:00.000Z,https://investors.bark.co/news/news-details/2023/BARK-Reports-Third-Quarter-Fiscal-Year-2023-Results/default.aspx,,Post-IPO,2023-02-10T02:01:41.000Z,United States,0.12,
Nomad Health,New York City,Healthcare,119,2023-02-09T00:00:00.000Z,https://www.forbes.com/sites/katiejennings/2023/02/09/staffing-marketplace-nomad-health-lays-off-20-of-workforce-employees-say/?sh=71b4037a1557,218,Unknown,2023-02-10T21:21:07.000Z,United States,0.17,
Veriff,"Tallin,Non-U.S.",Security,66,2023-02-09T00:00:00.000Z,https://digipro.geenius.ee/rubriik/uudis/veriff-koondab-66-tootajat-kotkas-meie-kasvuplaan-oli-oluliselt-ambitsioonikam/,192,Series C,2023-02-09T16:24:08.000Z,Estonia,0.12,
REE Automotive,"Tel Aviv,Non-U.S.",Transportation,31,2023-02-09T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/s16tkompi,317,Post-IPO,2023-02-11T00:26:57.000Z,Israel,0.11,
GitHub,SF Bay Area,Product,,2023-02-09T00:00:00.000Z,https://fortune.com/2023/02/09/github-is-laying-off-10-of-staff-and-cutting-down-office-space/,350,Acquired,2023-02-09T18:13:33.000Z,United States,0.1,
Quillt,St. Louis,Media,,2023-02-09T00:00:00.000Z,https://www.bizjournals.com/stlouis/inno/stories/news/2023/02/09/quillt-layoffs-digital-publishing.html,,Unknown,2023-02-10T16:59:10.000Z,United States,,
WeTrade,"Bengaluru,Non-U.S.",Crypto,,2023-02-09T00:00:00.000Z,https://inc42.com/buzz/bengaluru-based-crypto-startup-wetrade-shuts-operations-amidst-hostile-ambience/,,Unknown,2023-02-09T16:27:20.000Z,India,1,
GoDaddy,Phoenix,Marketing,530,2023-02-08T00:00:00.000Z,https://techstartups.com/2023/02/08/godaddy-to-lay-off-8-of-its-workforce-or-about-530-employees-amid-global-economic-slowdown/,800,Post-IPO,2023-02-08T22:43:33.000Z,United States,0.08,
Affirm,SF Bay Area,Finance,500,2023-02-08T00:00:00.000Z,https://www.wsj.com/articles/affirm-cuts-500-employees-19-of-its-workforce-11675897002,1500,Post-IPO,2023-02-08T21:27:27.000Z,United States,0.19,https://docs.google.com/spreadsheets/d/1thtK4ppRXt_tnd_6cOqoEBAClOnOm5AgUgXnERzlQJM/edit#gid=0
Gusto,SF Bay Area,HR,126,2023-02-08T00:00:00.000Z,https://gusto.com/company-news/josh-reeves-message-to-all-gusto,746,Series E,2023-02-08T17:20:23.000Z,United States,0.05,
Gong,SF Bay Area,Sales,80,2023-02-08T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hjyj6811as,583,Series E,2023-02-08T19:31:00.000Z,United States,0.07,
Equitybee,SF Bay Area,Finance,24,2023-02-08T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/h1jkvzwpo,85,Series B,2023-02-09T00:44:58.000Z,United States,0.25,
Baraja,"Sydney,Non-U.S.",Transportation,,2023-02-08T00:00:00.000Z,https://www.news.com.au/finance/business/technology/australian-driverless-car-startup-baraja-worth-300m-sacks-75-per-cent-of-staff/news-story/c7c36ac5afded8f5171e8cc0ec5a71af,63,Unknown,2023-02-08T17:46:18.000Z,Australia,0.75,
Koho,"Toronto,Non-U.S.",Finance,,2023-02-08T00:00:00.000Z,https://betakit.com/koho-lays-off-14-percent-of-staff/,278,Series D,2023-02-08T17:50:03.000Z,Canada,0.14,
Medly,New York City,Healthcare,,2023-02-08T00:00:00.000Z,https://www.businessinsider.com/medly-is-shutting-down-after-pharmacy-startup-declared-bankruptcy-2023-2,100,Series C,2023-02-11T00:24:28.000Z,United States,1,
Nearmap,"Sydney,Non-U.S.",Construction,,2023-02-08T00:00:00.000Z,https://www.afr.com/technology/c-suite-coup-mass-layoffs-at-nearmap-as-us-owner-wields-axe-20230207-p5cil4,15,Acquired,2023-02-08T17:38:11.000Z,Australia,0.2,
Zoom,SF Bay Area,Other,1300,2023-02-07T00:00:00.000Z,https://www.cnbc.com/2023/02/07/zoom-to-lay-off-1300-employees-or-about-15percent-of-its-workforce.html,276,Post-IPO,2023-02-07T18:47:26.000Z,United States,0.15,https://coda.io/@alumni/zoom-alumni-list
eBay,SF Bay Area,Retail,500,2023-02-07T00:00:00.000Z,https://www.reuters.com/technology/ebay-lay-off-500-employees-2023-02-07/,1200,Post-IPO,2023-02-07T22:26:57.000Z,United States,0.04,
