Company,Location HQ,Industry,# Laid Off,%,Date,Source,Stage,Date Added,Country,$ Raised (mm),List of Employees Laid Off
CommerceHub,Albany,Retail,371,0.31,2023-02-14T00:00:00.000Z,https://www.bizjournals.com/albany/news/2023/02/14/commercehub-channeladvisor-tech-layoffs.html,Acquired,2023-02-15T00:49:11.000Z,United States,,
HackerEarth,SF Bay Area,HR,17,,2023-02-14T00:00:00.000Z,https://inc42.com/buzz/prime-venture-backed-hackerearth-trims-workforce-introduces-pay-cut-globally/,Series B,2023-02-14T15:16:59.000Z,United States,11,
PhableCare,"Bengaluru,Non-U.S.",Healthcare,,0.7000000000000001,2023-02-14T00:00:00.000Z,https://inc42.com/buzz/exclusive-hundreds-of-layoffs-delayed-salaries-is-kalaari-backed-phablecare-the-latest-startup-to-bite-the-dust/,Series B,2023-02-15T00:50:25.000Z,India,40,
Udemy,SF Bay Area,Education,,0.1,2023-02-14T00:00:00.000Z,https://about.udemy.com/udemy-news/a-message-from-gregg-coccari-ceo-of-udemy/,Post-IPO,2023-02-15T00:53:15.000Z,United States,311,
Twilio,SF Bay Area,Other,1500,0.17,2023-02-13T00:00:00.000Z,https://www.cnbc.com/2023/02/13/twilio-layoffs-1500-employees-17percent-of-workforce.html,Post-IPO,2023-02-13T16:24:17.000Z,United States,614,
Electric,New York City,Other,141,0.25,2023-02-13T00:00:00.000Z,https://www.electric.ai/blog/open-letter-feb-2023,Series D,2023-02-14T15:14:49.000Z,United States,212,
iRobot,Boston,Consumer,85,0.07,2023-02-13T00:00:00.000Z,https://www.cnbc.com/2023/02/13/irobot-layoffs-7percent-of-workforce-at-roomba-maker-let-go.html,Acquired,2023-02-14T15:06:56.000Z,United States,30,
Collective Health,SF Bay Area,Healthcare,54,,2023-02-13T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:7031422708764581888/,Series F,2023-02-15T02:06:32.000Z,United States,719,
Magic Eden,SF Bay Area,Crypto,22,,2023-02-13T00:00:00.000Z,https://decrypt.co/121253/layoffs-hit-solana-nft-marketplace-magic-eden-sheds-22-employees,Series B,2023-02-14T15:12:47.000Z,United States,170,
Casavo,"Milan,Non-U.S.",Real Estate,,0.3,2023-02-13T00:00:00.000Z,https://casavo.com/blog/a-difficult-decision-to-strengthen-casavos-foundations-for-the-future/,Unknown,2023-02-13T17:48:59.000Z,Italy,708,
Foodpanda,"Singapore,Non-U.S.",Food,,,2023-02-13T00:00:00.000Z,https://www.techinasia.com/foodpanda-layoff-feb23,Acquired,2023-02-14T15:08:37.000Z,Singapore,749,
Getir,"London,Non-U.S.",Food,,,2023-02-13T00:00:00.000Z,https://sifted.eu/articles/getir-layoff-uk-staff-gorillas-merger-news/,Series E,2023-02-14T00:42:47.000Z,United Kingdom,1800,
LinkedIn,SF Bay Area,HR,,,2023-02-13T00:00:00.000Z,https://www.theinformation.com/articles/microsofts-linkedin-lays-off-staff-amid-hiring-slowdown,Acquired,2023-02-13T20:53:00.000Z,United States,154,
Moladin,"Jakarta,Non-U.S.",Transportation,360,0.11,2023-02-12T00:00:00.000Z,https://aimgroup.com/2023/02/12/used-car-marketplace-moladin-lays-off-360/,Series B,2023-02-13T17:52:55.000Z,Indonesia,138,
TripleLift,New York City,Marketing,100,0.2,2023-02-10T00:00:00.000Z,https://www.adexchanger.com/online-advertising/triplelift-announces-layoffs-the-latest-in-a-miserable-trend/,Acquired,2023-02-13T17:51:12.000Z,United States,16,
TikTok India,"Mumbai,Non-U.S.",Consumer,40,,2023-02-10T00:00:00.000Z,https://www.livemint.com/technology/tech-news/tiktok-sacks-entire-india-staff-report-11676001745604.html,Acquired,2023-02-10T16:57:01.000Z,India,9400,
Rigetti Computing,SF Bay Area,Hardware,,0.28,2023-02-10T00:00:00.000Z,https://www.marketwatch.com/story/rigetti-computing-to-slash-28-of-jobs-59be433b,Post-IPO,2023-02-10T22:04:09.000Z,United States,298,
Yahoo,SF Bay Area,Consumer,1600,0.2,2023-02-09T00:00:00.000Z,https://www.axios.com/2023/02/09/yahoo-layoffs-2023-tech-media-companies,Acquired,2023-02-09T19:04:22.000Z,United States,6,
Deliveroo,"London,Non-U.S.",Food,350,0.09,2023-02-09T00:00:00.000Z,https://news.sky.com/story/deliveroo-to-cut-hundreds-of-jobs-globally-and-uk-to-be-worst-hit-12806890,Post-IPO,2023-02-09T16:21:49.000Z,United Kingdom,1700,
